,flourishing_scale_raw_class_post,flourishing_scale_raw_post,panas_neg_raw_class_post,panas_neg_raw_post,panas_pos_raw_class_post,panas_pos_raw_post,panas_pos_imp_class_post,panas_pos_imp_post
travelstate_time_stationary_wk_3,0.0,0.0,0.0,0.0,-5.355805174134139e-05,0.0,-5.257925902271311e-05,0.0
travelstate_time_stationary_wk_4,0.0,0.0,0.0,0.0,-3.415996643146602e-05,0.0,-3.475566132485927e-05,0.0
travelstate_time_stationary_wk_5,0.0,0.0,0.0,0.0,-8.4406929373246e-06,0.0,-9.618251302083525e-06,0.0
travelstate_time_stationary_wk_6,-0.00010217240419268684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
travelstate_time_stationary_wk_7,-0.0001554525187127029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
travelstate_time_stationary_wk_8,0.0,0.0,0.0,-4.4312698312783975e-06,-4.3410136639973844e-05,0.0,-4.20811771430822e-05,1.0329934080798442e-06
travelstate_time_stationary_wk_9,0.0,0.0,0.0,0.0,-3.3688505912529262e-06,0.0,-2.0979551451072487e-06,0.0
travelstate_time_stationary_wk_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
travelstate_time_moving_wk_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
travelstate_time_moving_wk_2,0.0,0.0,0.0,0.0,1.766849197575893e-05,0.0,2.373278198247067e-05,0.0
travelstate_time_moving_wk_3,0.0,0.0,0.0,0.0,0.00010957536712409456,0.0,0.00011057429678535316,0.0
travelstate_time_moving_wk_4,0.0,0.0,0.0,0.0,6.836128079679465e-05,0.0,7.047540007105965e-05,0.0
travelstate_time_moving_wk_5,0.0,0.0,0.0,0.0,9.589355773578717e-05,0.0,9.438414807206654e-05,-3.34580592220812e-06
travelstate_time_moving_wk_6,0.0,0.0,0.0,0.0,0.0001770035485512881,0.0,0.0001768191310667271,0.0
travelstate_time_moving_wk_7,0.0,0.0,0.0,0.0,5.396241150059847e-05,0.0,3.8435205773748634e-05,0.0
travelstate_time_moving_wk_8,0.0,0.0,0.0,0.0,4.705975091339688e-06,0.0,0.0,0.0
travelstate_time_moving_wk_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
travelstate_time_moving_wk_10,0.0,0.0,0.0,0.0,6.861152501742951e-05,0.0,5.2697489611199586e-05,0.0
outdoor_time_wk_1,0.0,0.0,-5.30040435610529e-07,0.0,-3.9985375903738134e-05,0.0,-3.247177146240326e-05,0.0
outdoor_time_wk_2,0.0,0.0,0.0,0.0,-7.265320957319189e-05,0.0,-4.125208254748607e-05,0.0
outdoor_time_wk_3,0.0,0.0,0.0,0.0,-3.513631613300733e-05,0.0,-5.2835964223836874e-05,0.0
outdoor_time_wk_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outdoor_time_wk_5,0.0,0.0,0.0,0.0,-7.600550464638113e-06,0.0,-2.533439687596945e-06,0.0
outdoor_time_wk_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outdoor_time_wk_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outdoor_time_wk_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outdoor_time_wk_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outdoor_time_wk_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indoor_time_wk_1,0.0,0.0,0.0,0.0,-4.388100164490178e-05,0.0,-5.0062418948170544e-05,6.530354435767156e-07
indoor_time_wk_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indoor_time_wk_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indoor_time_wk_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indoor_time_wk_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indoor_time_wk_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indoor_time_wk_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indoor_time_wk_8,0.0,0.0,0.0,0.0,-1.824988902763568e-05,0.0,-1.7867841959429236e-05,0.0
indoor_time_wk_9,0.0,0.0,-2.7052453955192865e-05,0.0,0.0,0.0,0.0,0.0
