,Rank,CV score (mean),CV score (standard deviation),Target imputation,PCA prop. var.,Imputer strategy,Feature subset,SVM kernel,SVM gamma,SVM degree,SVM C
8218,121,81.16892441377873,80.53903396901265,No Imputation,0.6,mean,wk_9_10,linear,10,2,0.01
8087,122,81.16892441377873,80.53903396901265,KNN Imputation,0.6,mean,wk_9_10,linear,0.1,3,0.01
2603,123,81.16892441377873,80.53903396901265,KNN Imputation,0.6,mean,wk_9_10,linear,10,3,0.01
7862,124,81.16892441377873,80.53903396901265,KNN Imputation,0.6,mean,wk_9_10,linear,1,5,0.01
3028,125,81.16892441377873,80.53903396901265,No Imputation,0.6,mean,wk_9_10,linear,10,6,0.01
2827,126,81.16892441377873,80.53903396901265,No Imputation,0.6,mean,wk_9_10,linear,1,3,0.01
8551,127,81.16892441377873,80.53903396901265,KNN Imputation,0.6,mean,wk_9_10,linear,0.1,4,0.01
1888,128,81.16892441377873,80.53903396901265,KNN Imputation,0.6,mean,wk_9_10,linear,1,3,0.01
4847,129,81.16892441377873,80.53903396901265,KNN Imputation,0.6,mean,wk_9_10,linear,0.01,5,0.01
4372,130,81.16892441377873,80.53903396901265,No Imputation,0.6,mean,wk_9_10,linear,100,2,0.01
5656,131,81.16892441377873,80.53903396901265,KNN Imputation,0.6,mean,wk_9_10,linear,0.1,2,0.01
7594,132,81.16892441377873,80.53903396901265,KNN Imputation,0.6,mean,wk_9_10,linear,100,6,0.01
6636,133,81.16892441377873,80.53903396901265,No Imputation,0.6,mean,wk_9_10,linear,0.01,3,0.01
5646,134,81.16892441377873,80.53903396901265,KNN Imputation,0.6,mean,wk_9_10,linear,0.01,6,0.01
9173,135,81.16892441377873,80.53903396901265,No Imputation,0.6,mean,wk_9_10,linear,0.01,5,0.01
8164,136,81.16892441377873,80.53903396901265,No Imputation,0.6,mean,wk_9_10,linear,10,3,0.01
9219,137,81.16892441377873,80.53903396901265,KNN Imputation,0.6,mean,wk_9_10,linear,100,3,0.01
9715,138,81.16892441377873,80.53903396901265,No Imputation,0.6,mean,wk_9_10,linear,0.1,6,0.01
8239,139,81.16892441377873,80.53903396901265,KNN Imputation,0.6,mean,wk_9_10,linear,100,5,0.01
9611,140,81.16892441377873,80.53903396901265,No Imputation,0.6,mean,wk_9_10,linear,1,5,0.01
6521,141,81.16892441377873,80.53903396901265,KNN Imputation,0.6,mean,wk_9_10,linear,0.01,3,0.01
3448,142,81.28254775763692,80.80266812748899,KNN Imputation,0.8,mean,wk_9_10,linear,0.01,5,0.01
8324,143,81.28254775763692,80.80266812748899,KNN Imputation,0.8,mean,wk_9_10,linear,10,5,0.01
5623,144,81.28254775763692,80.80266812748899,No Imputation,0.8,mean,wk_9_10,linear,0.1,6,0.01
1679,145,81.28254775763692,80.80266812748899,KNN Imputation,0.8,mean,wk_9_10,linear,100,5,0.01
6947,146,81.28254775763692,80.80266812748899,KNN Imputation,0.8,mean,wk_9_10,linear,10,3,0.01
5935,147,81.28254775763692,80.80266812748899,No Imputation,0.8,mean,wk_9_10,linear,100,4,0.01
9812,148,81.28254775763692,80.80266812748899,No Imputation,0.8,mean,wk_9_10,linear,10,2,0.01
8231,149,81.28254775763692,80.80266812748899,No Imputation,0.8,mean,wk_9_10,linear,10,4,0.01
9006,150,81.28254775763692,80.80266812748899,KNN Imputation,0.8,mean,wk_9_10,linear,100,2,0.01
5561,151,81.28254775763692,80.80266812748899,KNN Imputation,0.8,mean,wk_9_10,linear,10,6,0.01
535,152,81.28254775763692,80.80266812748899,No Imputation,0.8,mean,wk_9_10,linear,0.1,5,0.01
7686,153,81.28254775763692,80.80266812748899,KNN Imputation,0.8,mean,wk_9_10,linear,0.1,6,0.01
9125,154,81.28254775763692,80.80266812748899,KNN Imputation,0.8,mean,wk_9_10,linear,0.1,3,0.01
828,155,81.28254775763692,80.80266812748899,No Imputation,0.8,mean,wk_9_10,linear,100,6,0.01
3580,156,81.28254775763692,80.80266812748899,No Imputation,0.8,mean,wk_9_10,linear,100,5,0.01
1828,157,81.28254775763692,80.80266812748899,KNN Imputation,0.8,mean,wk_9_10,linear,0.01,6,0.01
3699,158,81.28254775763692,80.80266812748899,KNN Imputation,0.8,mean,wk_9_10,linear,1,5,0.01
986,159,81.28254775763692,80.80266812748899,KNN Imputation,0.8,mean,wk_9_10,linear,0.01,2,0.01
7102,160,81.28254775763692,80.80266812748899,KNN Imputation,0.8,mean,wk_9_10,linear,0.01,4,0.01
5750,161,81.31085165956944,69.3639275291517,No Imputation,0.6,most_frequent,wk_9_10,rbf,0.01,3,10
9565,162,81.31085165956944,69.3639275291517,KNN Imputation,0.6,most_frequent,wk_9_10,rbf,0.01,6,10
5718,163,81.31085165956944,69.3639275291517,KNN Imputation,0.6,most_frequent,wk_9_10,rbf,0.01,5,10
6178,164,81.31085165956944,69.3639275291517,KNN Imputation,0.6,most_frequent,wk_9_10,rbf,0.01,3,10
48,165,81.31085165956944,69.3639275291517,No Imputation,0.6,most_frequent,wk_9_10,rbf,0.01,5,10
9631,166,81.31085165956944,69.3639275291517,KNN Imputation,0.6,most_frequent,wk_9_10,rbf,0.01,2,10
6053,167,81.31085165956944,69.3639275291517,No Imputation,0.6,most_frequent,wk_9_10,rbf,0.01,2,10
1391,168,81.31408560263534,83.37437859902828,KNN Imputation,0.6,median,wk_10,rbf,0.01,6,1
6658,169,81.31408560263534,83.37437859902828,KNN Imputation,0.6,median,wk_10,rbf,0.01,2,1
7378,170,81.31408560263534,83.37437859902828,No Imputation,0.6,median,wk_10,rbf,0.01,6,1
9241,171,81.34253675468405,90.97203385039869,No Imputation,0.6,most_frequent,all,rbf,0.01,3,10
4169,172,81.34253675468405,90.97203385039869,KNN Imputation,0.6,most_frequent,all,rbf,0.01,5,10
9099,173,81.34253675468405,90.97203385039869,KNN Imputation,0.6,most_frequent,all,rbf,0.01,2,10
9713,174,81.65477927328804,81.28340943353174,KNN Imputation,0.6,median,all,rbf,0.01,6,1000
1052,175,81.65477927328804,81.28340943353174,No Imputation,0.6,median,all,rbf,0.01,5,1000
1472,176,81.65477927328804,81.28340943353174,No Imputation,0.6,median,all,rbf,0.01,6,100
3665,177,81.65477927328804,81.28340943353174,KNN Imputation,0.6,median,all,rbf,0.01,6,100
4971,178,81.65477927328804,81.28340943353174,KNN Imputation,0.6,median,all,rbf,0.01,3,1000
586,179,81.66819931069726,80.11228249156439,No Imputation,0.6,most_frequent,wk_9_10,rbf,0.01,4,1
9394,180,81.66819931069726,80.11228249156439,KNN Imputation,0.6,most_frequent,wk_9_10,rbf,0.01,3,1
3491,181,81.6923672945632,84.08433487852484,No Imputation,0.85,median,wk_10,rbf,0.01,3,1
1515,182,81.6923672945632,84.08433487852484,No Imputation,0.85,median,wk_10,rbf,0.01,4,1
1045,183,81.6923672945632,84.08433487852484,No Imputation,0.85,median,wk_10,rbf,0.01,5,1
4906,184,81.6923672945632,84.08433487852484,KNN Imputation,0.85,median,wk_10,rbf,0.01,6,1
9087,185,81.85798444419632,80.40607263646649,KNN Imputation,0.8,most_frequent,all,rbf,0.01,4,1000
2075,186,81.85798444419632,80.40607263646649,No Imputation,0.8,most_frequent,all,rbf,0.01,2,100
7131,187,81.85798444419632,80.40607263646649,No Imputation,0.8,most_frequent,all,rbf,0.01,2,1000
4376,188,81.85798444419632,80.40607263646649,No Imputation,0.8,most_frequent,all,rbf,0.01,3,100
7500,189,81.85798444419632,80.40607263646649,No Imputation,0.8,most_frequent,all,rbf,0.01,5,100
4291,190,81.85798444419632,80.40607263646649,No Imputation,0.8,most_frequent,all,rbf,0.01,3,1000
4415,191,81.85798444419632,80.40607263646649,KNN Imputation,0.8,most_frequent,all,rbf,0.01,5,100
225,192,81.90944629606649,84.06930331508954,No Imputation,0.8,mean,wk_10,rbf,0.01,2,1
7904,193,81.90944629606649,84.06930331508954,No Imputation,0.8,mean,wk_10,rbf,0.01,3,1
1497,194,81.90944629606649,84.06930331508954,No Imputation,0.8,mean,wk_10,rbf,0.01,6,1
1784,195,81.90944629606649,84.06930331508954,KNN Imputation,0.8,mean,wk_10,rbf,0.01,6,1
6395,196,81.90944629606649,84.06930331508954,KNN Imputation,0.8,mean,wk_10,rbf,0.01,4,1
9987,197,81.9252575501773,84.21597605812417,No Imputation,0.85,mean,wk_10,rbf,0.01,3,1
3213,198,81.9252575501773,84.21597605812417,KNN Imputation,0.85,mean,wk_10,rbf,0.01,6,1
4849,199,81.9252575501773,84.21597605812417,No Imputation,0.85,mean,wk_10,rbf,0.01,6,1
3894,200,81.9252575501773,84.21597605812417,No Imputation,0.85,mean,wk_10,rbf,0.01,2,1
174,201,81.9252575501773,84.21597605812417,KNN Imputation,0.85,mean,wk_10,rbf,0.01,2,1
4964,202,81.9252575501773,84.21597605812417,KNN Imputation,0.85,mean,wk_10,rbf,0.01,3,1
3356,203,81.9252575501773,84.21597605812417,KNN Imputation,0.85,mean,wk_10,rbf,0.01,5,1
3051,204,81.96357889597672,84.11688813337604,No Imputation,0.8,median,wk_10,rbf,0.01,4,1
6579,205,81.99945197819218,83.4803425539451,KNN Imputation,0.95,median,wk_10,rbf,0.01,5,1
9065,206,81.99945197819218,83.4803425539451,No Imputation,0.95,median,wk_10,rbf,0.01,4,1
8735,207,81.99945197819218,83.4803425539451,No Imputation,0.95,median,wk_10,rbf,0.01,5,1
7267,208,81.99945197819218,83.4803425539451,No Imputation,0.95,median,wk_10,rbf,0.01,6,1
9507,209,81.99945197819218,83.4803425539451,KNN Imputation,0.95,median,wk_10,rbf,0.01,2,1
9453,210,82.20680713762178,74.957233216954,No Imputation,0.7,most_frequent,all,rbf,0.01,2,100
509,211,82.20680713762178,74.957233216954,No Imputation,0.7,most_frequent,all,rbf,0.01,5,100
5206,212,82.20680713762178,74.957233216954,KNN Imputation,0.7,most_frequent,all,rbf,0.01,5,1000
4908,213,82.20680713762178,74.957233216954,No Imputation,0.7,most_frequent,all,rbf,0.01,5,1000
1654,214,82.20680713762178,74.957233216954,KNN Imputation,0.7,most_frequent,all,rbf,0.01,4,100
4660,215,82.20680713762178,74.957233216954,KNN Imputation,0.7,most_frequent,all,rbf,0.01,3,1000
4330,216,82.20680713762178,74.957233216954,No Imputation,0.7,most_frequent,all,rbf,0.01,2,1000
3341,217,82.20680713762178,74.957233216954,KNN Imputation,0.7,most_frequent,all,rbf,0.01,3,100
4517,218,82.21948455713593,84.15943786847805,KNN Imputation,0.9,median,wk_10,rbf,0.01,3,1
3105,219,82.21948455713593,84.15943786847805,No Imputation,0.9,median,wk_10,rbf,0.01,3,1
456,220,82.25951366835588,83.70121437439532,No Imputation,0.95,mean,wk_10,rbf,0.01,5,1
9599,221,82.25951366835588,83.70121437439532,No Imputation,0.95,mean,wk_10,rbf,0.01,4,1
5463,222,82.25951366835588,83.70121437439532,KNN Imputation,0.95,mean,wk_10,rbf,0.01,4,1
1483,223,82.2973878429032,83.37541599227971,KNN Imputation,0.6,mean,wk_10,rbf,0.01,5,1
8030,224,82.2973878429032,83.37541599227971,KNN Imputation,0.6,mean,wk_10,rbf,0.01,4,1
4482,225,82.2973878429032,83.37541599227971,No Imputation,0.6,mean,wk_10,rbf,0.01,5,1
4640,226,82.2973878429032,83.37541599227971,KNN Imputation,0.6,mean,wk_10,rbf,0.01,2,1
9159,227,82.2973878429032,83.37541599227971,KNN Imputation,0.6,mean,wk_10,rbf,0.01,6,1
2889,228,82.3596290318993,86.75588708459252,No Imputation,0.7,mean,all,rbf,0.01,3,10
50,229,82.3596290318993,86.75588708459252,KNN Imputation,0.7,mean,all,rbf,0.01,5,10
8443,230,82.66114608409852,87.7864414860008,KNN Imputation,0.7,median,all,rbf,0.01,6,10
2388,231,82.66114608409852,87.7864414860008,KNN Imputation,0.7,median,all,rbf,0.01,2,10
7252,232,82.70165916312166,73.52492625185994,KNN Imputation,0.85,most_frequent,wk_9_10,linear,100,2,0.01
7575,233,82.70165916312166,73.52492625185994,KNN Imputation,0.85,most_frequent,wk_9_10,linear,100,4,0.01
5509,234,82.70165916312166,73.52492625185994,No Imputation,0.85,most_frequent,wk_9_10,linear,1,6,0.01
6070,235,82.70165916312166,73.52492625185994,KNN Imputation,0.85,most_frequent,wk_9_10,linear,0.01,2,0.01
50,236,82.70165916312166,73.52492625185994,No Imputation,0.85,most_frequent,wk_9_10,linear,0.01,5,0.01
3709,237,82.70165916312166,73.52492625185994,KNN Imputation,0.85,most_frequent,wk_9_10,linear,0.1,4,0.01
3965,238,82.70165916312166,73.52492625185994,No Imputation,0.85,most_frequent,wk_9_10,linear,1,5,0.01
3031,239,82.70165916312166,73.52492625185994,KNN Imputation,0.85,most_frequent,wk_9_10,linear,0.01,4,0.01
5517,240,82.70165916312166,73.52492625185994,KNN Imputation,0.85,most_frequent,wk_9_10,linear,0.1,6,0.01
7,241,82.70165916312166,73.52492625185994,KNN Imputation,0.85,most_frequent,wk_9_10,linear,100,6,0.01
5055,242,82.70165916312166,73.52492625185994,KNN Imputation,0.85,most_frequent,wk_9_10,linear,0.1,2,0.01
5059,243,82.70165916312166,73.52492625185994,KNN Imputation,0.85,most_frequent,wk_9_10,linear,1,2,0.01
3243,244,82.70165916312166,73.52492625185994,No Imputation,0.85,most_frequent,wk_9_10,linear,0.01,3,0.01
2575,245,82.70165916312166,73.52492625185994,No Imputation,0.85,most_frequent,wk_9_10,linear,0.01,4,0.01
4326,246,82.70165916312166,73.52492625185994,KNN Imputation,0.85,most_frequent,wk_9_10,linear,0.01,5,0.01
1149,247,82.70165916312166,73.52492625185994,No Imputation,0.85,most_frequent,wk_9_10,linear,0.01,2,0.01
842,248,82.70165916312166,73.52492625185994,KNN Imputation,0.85,most_frequent,wk_9_10,linear,10,5,0.01
731,249,82.70165916312166,73.52492625185994,No Imputation,0.85,most_frequent,wk_9_10,linear,100,6,0.01
1639,250,82.72819184907891,84.47909145129061,No Imputation,0.9,mean,wk_10,rbf,0.01,3,1
8512,251,82.72819184907891,84.47909145129061,KNN Imputation,0.9,mean,wk_10,rbf,0.01,2,1
7143,252,82.82562977059061,79.45171938374288,KNN Imputation,0.9,mean,wk_9_10,linear,0.01,2,0.01
