,rank_test_score,mean_test_score,std_test_score,param_pca__n_components,param_imputer__strategy,param_df_selector__attribute_names,param_SVM__kernel,param_SVM__gamma,param_SVM__degree,param_SVM__C
8471,7867,-194187096985.16193,582561278188.5558,0.6,median,wk_9_10,poly,0.1,3,10
2157,7868,-198912231402.37976,596736692720.0256,0.9,most_frequent,wk_9_10,poly,0.1,3,1000
9668,7869,-198913378624.20184,596740134385.4888,0.9,most_frequent,wk_9_10,poly,100,3,1
1375,7869,-198913378624.20184,596740134385.4888,0.9,most_frequent,wk_9_10,poly,100,3,1000
6062,7871,-198920549735.13666,596761647718.3555,0.9,most_frequent,wk_9_10,poly,1,3,0.1
9096,7871,-198920549735.13666,596761647718.3555,0.9,most_frequent,wk_9_10,poly,1,3,10
1424,7873,-198926052991.95956,596778157488.7709,0.9,most_frequent,wk_9_10,poly,10,3,0.1
7721,7873,-198926052991.95956,596778157488.7709,0.9,most_frequent,wk_9_10,poly,10,3,10
1087,7873,-198926052991.95956,596778157488.7709,0.9,most_frequent,wk_9_10,poly,10,3,100
1922,7876,-199926250926.3866,599778750591.7688,0.6,most_frequent,all,poly,0.01,4,0.01
981,7877,-205347965026.9449,616043894764.9426,0.85,mean,wk_10,poly,0.01,4,1
8267,7878,-213773344043.66226,641320012285.5737,0.6,median,wk_9_10,poly,100,3,100
8457,7878,-213773344043.66226,641320012285.5737,0.6,median,wk_9_10,poly,100,3,0.01
7353,7880,-213785974664.48972,641357904148.0928,0.6,median,wk_9_10,poly,10,3,0.1
9996,7880,-213785974664.48972,641357904148.0928,0.6,median,wk_9_10,poly,10,3,100
4361,7880,-213785974664.48972,641357904148.0928,0.6,median,wk_9_10,poly,10,3,10
6598,7883,-213795573908.01703,641386701878.6858,0.6,median,wk_9_10,poly,1,3,100
4199,7883,-213795573908.01703,641386701878.6858,0.6,median,wk_9_10,poly,1,3,1
9731,7883,-213795573908.01703,641386701878.6858,0.6,median,wk_9_10,poly,1,3,1000
151,7886,-213796836698.3505,641390490249.8593,0.6,median,wk_9_10,poly,0.1,3,100
727,7887,-218886153941.2887,656658461534.0507,0.6,median,wk_10,poly,0.01,4,10
280,7888,-224454346222.1479,673362995401.9685,0.95,median,wk_10,poly,0.01,3,100
7758,7889,-227091924524.66513,681275757182.6444,0.95,most_frequent,wk_10,poly,0.01,3,1000
8986,7890,-227125232234.16144,681375680309.95,0.95,most_frequent,wk_10,poly,0.1,3,1
4841,7891,-228696086188.4798,686088159336.993,0.6,most_frequent,wk_10,poly,100,3,1000
5557,7892,-228740763617.35785,686222284829.381,0.6,most_frequent,wk_10,poly,100,3,100
4508,7893,-228748478451.65625,686241337577.4238,0.6,most_frequent,wk_10,poly,100,3,0.01
2896,7894,-228748707263.8046,686241130388.2074,0.6,most_frequent,wk_10,poly,100,3,1
6550,7895,-229200787580.91544,687602362413.5067,0.95,most_frequent,wk_10,poly,0.01,4,1
