,rank_test_score,mean_test_score,std_test_score,param_pca__n_components,param_imputer__strategy,param_df_selector__attribute_names,param_SVM__kernel,param_SVM__gamma,param_SVM__degree,param_SVM__C
8651,123,-0.602327242761244,0.10482557838324476,0.95,most_frequent,wk_10,rbf,10,4,1
349,124,-0.6026955715816025,0.1405180244010569,0.85,most_frequent,wk_10,rbf,1,3,1
5422,125,-0.6030992122014511,0.11571233734482665,0.8,median,wk_10,rbf,1,3,100
7041,126,-0.6034761848077113,0.12570949188295485,0.6,mean,wk_10,rbf,10,3,100
6724,127,-0.6034792446714408,0.1034906039223659,0.95,most_frequent,wk_10,rbf,1,2,1
1652,128,-0.6036936202041263,0.10504100290694839,0.9,mean,wk_10,rbf,100,2,1000
9611,129,-0.6037676844420836,0.11467528553413371,0.95,mean,wk_10,rbf,100,2,100
4769,130,-0.6037947409636174,0.20272746954667367,0.95,mean,wk_9_10,rbf,0.1,2,1000
4708,131,-0.6038551057305305,0.13111995003469223,0.8,mean,wk_10,rbf,1,6,100
9523,132,-0.6039023138540085,0.11943531843373809,0.6,mean,wk_10,rbf,10,6,10
4258,133,-0.6039779144503398,0.10831610191609577,0.95,median,wk_10,rbf,10,3,100
8336,134,-0.6042613827806,0.11386359828505942,0.95,median,wk_10,rbf,10,6,1
9356,135,-0.6042913834681316,0.2133867865590471,0.8,mean,wk_9_10,rbf,0.1,4,100
5415,136,-0.6043629101922944,0.13724313335226065,0.9,most_frequent,wk_10,rbf,1,2,100
7655,137,-0.604398646595367,0.12081306044614389,0.8,mean,wk_10,rbf,100,6,10
5325,138,-0.6045649495955434,0.10617385460852118,0.85,median,wk_10,rbf,100,5,10
2193,139,-0.6045811456161566,0.11386608607024994,0.9,most_frequent,wk_10,rbf,100,5,10
9286,140,-0.6050217468474204,0.10367199331667469,0.95,median,wk_10,rbf,100,4,1
8760,141,-0.6055434925043823,0.2507958141927292,0.9,mean,wk_9_10,rbf,0.1,5,1000
4162,142,-0.6056321176636338,0.09216563856352307,0.8,most_frequent,wk_10,rbf,10,6,100
3885,143,-0.6056704078732299,0.11758981861719861,0.85,median,wk_10,rbf,100,5,1
4371,144,-0.6058133144336728,0.1025846396650032,0.6,most_frequent,wk_10,rbf,100,3,1
4177,145,-0.6060064984304023,0.10898588304392155,0.95,mean,wk_10,rbf,100,4,1
8589,146,-0.6061385909191648,0.09430078719756126,0.9,median,wk_10,rbf,100,2,10
3065,147,-0.6061428477669581,0.1141885383725387,0.7,most_frequent,wk_10,rbf,10,3,1
9833,148,-0.6063138762282604,0.10716250079659322,0.9,most_frequent,wk_10,rbf,10,3,100
9753,149,-0.6066727460976369,0.12117913899037437,0.7,most_frequent,wk_10,rbf,100,6,100
5764,150,-0.6068318014265552,0.10831633910539686,0.6,median,wk_10,rbf,10,5,1
8671,151,-0.6068784009317845,0.13211550259669205,0.8,median,wk_10,rbf,10,2,1000
8619,152,-0.6071877909588052,0.08800972200145436,0.7,most_frequent,wk_10,poly,0.1,5,0.1
5898,153,-0.6071891126793658,0.09051866391128321,0.8,most_frequent,wk_10,rbf,100,5,10
1890,154,-0.6077009729150323,0.1201825046790843,0.6,mean,wk_10,rbf,10,3,1
9347,155,-0.6077684397137848,0.11169041366011513,0.8,mean,wk_10,rbf,100,2,1000
2342,156,-0.6080465558049145,0.0977552767404475,0.9,median,wk_10,rbf,1,3,1000
5685,157,-0.6083613498582439,0.10499289141707598,0.9,median,wk_10,rbf,1,3,10
6201,158,-0.6085079225608442,0.14404440010311198,0.9,most_frequent,wk_10,rbf,100,3,100
6257,159,-0.6090620231394955,0.10490610996641296,0.95,most_frequent,wk_10,rbf,10,6,1
1401,160,-0.6091952103912356,0.10951747747157071,0.9,mean,wk_10,rbf,10,2,10
3355,161,-0.6095428082599418,0.09634059384329366,0.9,mean,wk_10,rbf,100,2,100
4858,162,-0.6098180480881269,0.09970578078359667,0.85,mean,wk_10,rbf,10,6,100
6207,163,-0.6099292238458218,0.09763126246019815,0.85,most_frequent,wk_10,rbf,10,2,1000
9769,164,-0.6100473136383644,0.11006648854384127,0.6,median,wk_10,rbf,10,6,10
7580,165,-0.6105542224718328,0.09367718977520317,0.95,median,wk_10,rbf,1,6,1000
9282,166,-0.6106219671166421,0.10837830764865604,0.7,median,wk_10,rbf,10,5,1
832,167,-0.6108663859552487,0.1028953467164258,0.85,median,wk_10,rbf,1,2,1
448,168,-0.610982912249999,0.0975453736946529,0.8,median,wk_10,rbf,1,6,10
8531,169,-0.611187810773157,0.11103092088082665,0.95,most_frequent,wk_10,rbf,1,6,1
4348,170,-0.6113216393566325,0.09137567802303555,0.7,mean,wk_10,rbf,100,5,1000
4960,171,-0.6114692317290291,0.09528327557284083,0.85,median,wk_10,rbf,100,3,1
4926,172,-0.6116368646532397,0.16477812473062733,0.95,mean,wk_9_10,rbf,0.1,6,10
3562,173,-0.61168215546808,0.18619016823142198,0.8,mean,wk_9_10,rbf,0.1,4,1
9971,174,-0.6116880132934293,0.2382415941463645,0.9,mean,wk_9_10,rbf,0.1,3,1000
5491,175,-0.6117404360762289,0.11440820580108016,0.7,mean,wk_10,rbf,100,2,1
902,176,-0.6117636558155927,0.11529398230231483,0.8,most_frequent,wk_10,rbf,100,6,100
3423,177,-0.6118239247150845,0.11306102593093743,0.6,mean,wk_10,rbf,10,2,1
4356,178,-0.6118671921739571,0.14315520934722886,0.85,median,wk_10,rbf,1,5,100
9094,179,-0.612015268463944,0.09157903838141992,0.7,mean,wk_10,rbf,100,4,100
9386,180,-0.6120257057412812,0.12016744594473788,0.95,most_frequent,wk_10,rbf,10,5,1
9680,181,-0.6120511598527569,0.09090776908952547,0.95,mean,wk_10,rbf,1,3,10
6462,182,-0.6120603492668389,0.08845644753827774,0.8,mean,wk_10,rbf,10,6,10
1219,183,-0.6120642765244684,0.09645036065440307,0.7,median,wk_10,rbf,10,3,1000
4875,184,-0.6123787195990733,0.09658433426757265,0.6,most_frequent,wk_10,rbf,100,4,10
2947,185,-0.6127276576311602,0.14470621480679727,0.8,most_frequent,wk_10,rbf,1,2,1
2948,186,-0.6128753527875476,0.11263567743768085,0.95,most_frequent,wk_10,rbf,1,2,100
4969,187,-0.6130707191356318,0.1469149414704104,0.7,mean,wk_10,rbf,10,2,10
3132,188,-0.6133423961610098,0.11357639811678091,0.7,most_frequent,wk_10,rbf,100,5,1
9594,189,-0.613380910991147,0.16972106619116298,0.7,most_frequent,wk_10,linear,0.01,4,1000
9232,190,-0.6134055944499089,0.0909381816088297,0.85,most_frequent,wk_10,rbf,10,5,1000
7071,191,-0.6136341686628615,0.11306712799141462,0.95,median,wk_10,rbf,100,6,1
6693,192,-0.6141612901780533,0.10425699497670872,0.8,mean,wk_10,rbf,1,4,100
9399,193,-0.6142726395699228,0.08820281296008213,0.9,median,wk_10,rbf,1,4,10
4702,194,-0.6144016624884916,0.1402448201218434,0.7,mean,wk_10,rbf,10,5,1
4966,195,-0.6150387639536948,0.11137598386681948,0.6,mean,wk_10,poly,10,4,0.01
3466,196,-0.615056585757305,0.19335531086473104,0.85,mean,wk_9_10,rbf,0.1,2,1
336,197,-0.6151417976155569,0.09205690972623048,0.7,mean,wk_10,rbf,100,2,1000
9659,198,-0.6153866600464586,0.10314416181965075,0.6,mean,wk_10,rbf,100,5,10
3791,199,-0.6154609288986108,0.11638682020888795,0.95,mean,wk_10,rbf,10,3,1
3681,200,-0.6154911648150039,0.11509538751959428,0.8,most_frequent,wk_10,rbf,10,2,100
760,201,-0.6155384902089212,0.09901488212714456,0.85,median,wk_10,rbf,10,6,100
8851,202,-0.6157226474304688,0.12062303251442842,0.85,most_frequent,wk_9_10,poly,0.1,3,0.1
