,rank_test_score,mean_test_score,std_test_score,param_pca__n_components,param_imputer__strategy,param_df_selector__attribute_names,param_SVM__kernel,param_SVM__gamma,param_SVM__degree,param_SVM__C
6522,244,-0.6346946606556527,0.15155001822340233,0.7,median,wk_9_10,poly,0.1,6,1000
7521,245,-0.634772373431135,0.09164990142665407,0.6,mean,wk_9_10,poly,0.1,6,100
8620,246,-0.6350239768758122,0.08917668998166826,0.6,mean,wk_9_10,poly,0.1,6,0.01
1556,247,-0.6350615470268643,0.0911480738426627,0.85,median,wk_10,rbf,0.1,4,1
4958,248,-0.6351283127718912,0.059662276518474444,0.8,most_frequent,wk_9_10,poly,1,2,1000
6898,249,-0.6353331168637428,0.19055748467266484,0.7,median,wk_9_10,poly,0.1,6,10
2373,250,-0.6354334696211457,0.06456510989420958,0.6,most_frequent,wk_9_10,rbf,0.01,2,100
8359,251,-0.6354744112065556,0.10159771311810417,0.8,most_frequent,wk_10,rbf,0.1,5,1
56,252,-0.6356143304561315,0.14909922519769897,0.9,most_frequent,wk_10,rbf,0.1,5,100
7806,253,-0.6356431304805978,0.07070434835541856,0.6,most_frequent,wk_9_10,rbf,0.1,4,100
1741,254,-0.6357189156961056,0.08360385855526654,0.95,most_frequent,wk_9_10,poly,0.01,4,0.01
5252,255,-0.6359168333155658,0.20770928471771632,0.9,mean,all,rbf,0.01,3,1
5068,256,-0.6360820827423714,0.15391119690691363,0.85,most_frequent,wk_9_10,poly,0.01,5,10
7261,257,-0.6361266199594383,0.18858903200832855,0.7,mean,wk_9_10,poly,10,2,0.01
5130,258,-0.6363999042192037,0.14288255961099766,0.7,median,wk_9_10,poly,0.1,6,0.1
1286,259,-0.6364427955219589,0.22757876850534584,0.9,most_frequent,all,rbf,0.01,6,100
8599,260,-0.6365545228162246,0.07995692539038111,0.6,median,wk_10,linear,0.01,3,10
6000,261,-0.6365661763494493,0.10340279150906531,0.95,most_frequent,wk_10,poly,0.01,3,1000
3202,262,-0.6368240735246575,0.08412341442469048,0.95,most_frequent,all,poly,0.1,6,100
760,263,-0.6368855059025021,0.21170226845292328,0.95,most_frequent,all,poly,0.01,2,10
35,264,-0.6370304340426244,0.09974372366610056,0.8,most_frequent,wk_10,poly,10,2,0.01
2592,265,-0.6370414872260115,0.11143440819808915,0.6,most_frequent,wk_9_10,linear,0.01,5,1000
6832,266,-0.6370767886244775,0.09140833978209527,0.9,most_frequent,wk_9_10,poly,100,4,1000
3156,267,-0.6371269473414316,0.07838346163189738,0.9,most_frequent,wk_9_10,poly,10,2,1
1609,268,-0.6371436205683632,0.13161339135449687,0.9,most_frequent,all,rbf,0.01,2,0.1
494,269,-0.6372503783396811,0.13700915242564227,0.8,mean,wk_10,poly,100,3,1
3312,270,-0.6373252072866584,0.16294497985003512,0.6,median,wk_9_10,rbf,0.01,2,1000
4275,271,-0.637475073180257,0.09023511698258126,0.95,mean,all,linear,0.1,4,1
6656,272,-0.6375453350143905,0.102855818643541,0.9,median,wk_10,rbf,0.01,5,1
1094,273,-0.6376528975630016,0.0752063827342421,0.6,most_frequent,wk_9_10,linear,10,6,1000
8630,274,-0.6377696515766123,0.12798772236781822,0.8,mean,all,rbf,0.01,2,0.1
2128,275,-0.6378416593256606,0.13823601177025588,0.6,most_frequent,all,rbf,0.01,2,0.01
9764,276,-0.6378463867132845,0.06801048137147843,0.8,mean,all,poly,0.01,3,0.01
4312,277,-0.6378870073441496,0.0994688696877882,0.8,most_frequent,wk_10,rbf,1,4,100
5870,278,-0.6379053514831066,0.10328096269889069,0.9,most_frequent,all,poly,10,6,0.01
1262,279,-0.6380324402440929,0.06419928904199373,0.8,most_frequent,wk_9_10,poly,10,2,10
7430,280,-0.6380594762293488,0.11544110788091687,0.6,mean,wk_10,poly,10,2,1000
5217,281,-0.638135043717398,0.27695275714316453,0.8,mean,all,rbf,0.01,2,1000
931,282,-0.6382602236665381,0.0945811126046406,0.6,median,wk_10,poly,0.1,6,0.1
1900,283,-0.6382809470526576,0.09564791150236011,0.7,mean,all,linear,1,4,1000
3355,284,-0.6383468058017172,0.10973226242216144,0.9,most_frequent,all,poly,10,6,100
2200,285,-0.6384220083478762,0.08519375789511517,0.6,mean,wk_10,poly,100,5,0.01
344,286,-0.6385638179052584,0.3403220525697698,0.6,median,all,rbf,0.01,3,1000
