,Rank,CV score (mean),CV score (standard deviation),Target imputation,PCA prop. var.,Imputer strategy,Feature subset,SVM kernel,SVM gamma,SVM degree,SVM C
69,4645,56.4966443263984,24.950908152986532,KNN Imputation,0.7,mean,wk_10,rbf,10,2,10
2665,4646,56.49707324079109,26.607304760633536,No Imputation,0.6,median,wk_10,rbf,1,6,0.01
5583,4647,56.49707324079109,26.607304760633536,No Imputation,0.6,median,wk_10,rbf,1,2,0.01
1022,4648,56.49707324079109,26.607304760633536,No Imputation,0.6,median,wk_10,rbf,1,3,0.01
3599,4649,56.49707324079109,26.607304760633536,No Imputation,0.6,median,wk_10,rbf,1,5,0.01
2968,4650,56.49716604996263,24.815029899830126,KNN Imputation,0.8,mean,wk_10,rbf,0.01,2,0.1
3109,4651,56.49716604996263,24.815029899830126,KNN Imputation,0.8,mean,wk_10,rbf,0.01,6,0.1
9368,4652,56.49716604996263,24.815029899830126,KNN Imputation,0.8,mean,wk_10,rbf,0.01,4,0.1
9443,4653,56.49721717326115,26.605806485293225,No Imputation,0.6,mean,wk_10,rbf,1,6,0.01
798,4654,56.49721717326115,26.605806485293225,No Imputation,0.6,mean,wk_10,rbf,1,2,0.01
2344,4655,56.49721717326115,26.605806485293225,No Imputation,0.6,mean,wk_10,rbf,1,4,0.01
6958,4656,56.49721717326115,26.605806485293225,No Imputation,0.6,mean,wk_10,rbf,1,5,0.01
6891,4657,56.499737396728484,26.601649467834925,No Imputation,0.6,median,all,rbf,0.01,6,0.01
731,4658,56.499737396728484,26.601649467834925,No Imputation,0.6,median,all,rbf,0.01,5,0.01
2530,4659,56.499737396728484,26.601649467834925,No Imputation,0.6,median,all,rbf,0.01,4,0.01
7104,4660,56.499737396728484,26.601649467834925,No Imputation,0.6,median,all,rbf,0.01,3,0.01
2370,4661,56.499880280887155,26.59856963469604,No Imputation,0.6,mean,all,rbf,0.01,2,0.01
3841,4662,56.499880280887155,26.59856963469604,No Imputation,0.6,mean,all,rbf,0.01,4,0.01
4755,4663,56.501374199044335,26.605385258735907,No Imputation,0.6,most_frequent,all,rbf,0.01,4,0.01
490,4664,56.503585063475626,26.612553248975942,No Imputation,0.8,most_frequent,wk_10,rbf,1,4,0.01
4060,4665,56.503612927786,26.502598432293688,No Imputation,0.85,mean,all,rbf,0.01,4,0.1
7074,4666,56.504965849657864,26.612703637770274,No Imputation,0.7,mean,wk_10,rbf,1,5,0.01
8457,4667,56.504965849657864,26.612703637770274,No Imputation,0.7,mean,wk_10,rbf,1,3,0.01
5985,4668,56.505407823512165,26.613774991879122,No Imputation,0.85,most_frequent,wk_10,rbf,1,4,0.01
3334,4669,56.505407823512165,26.613774991879122,No Imputation,0.85,most_frequent,wk_10,rbf,1,6,0.01
3780,4670,56.505407823512165,26.613774991879122,No Imputation,0.85,most_frequent,wk_10,rbf,1,2,0.01
4323,4671,56.50724114023423,26.5263985534292,No Imputation,0.85,median,wk_9_10,rbf,0.01,4,0.1
